time,month,Cindex,Eindex
1881-08-16 12:00:00.000000000,8,0.5903619,-0.43331754
1881-09-16 00:00:00.000000000,9,0.19613744,-0.28003126
1881-10-16 12:00:00.000000000,10,-0.065323144,-0.08917013
1881-11-16 00:00:00.000000000,11,-0.11424761,-0.28153083
1881-12-16 12:00:00.000000000,12,0.15641981,-0.457563
1882-01-16 12:00:00.000000000,1,0.20945258,-0.7384403
1882-02-15 00:00:00.000000000,2,0.07800155,-0.8148876
1882-03-16 12:00:00.000000000,3,0.22062601,-0.8251456
1882-04-16 00:00:00.000000000,4,0.66132534,-0.28999826
1882-05-16 12:00:00.000000000,5,0.735231,-0.406702
1882-06-16 00:00:00.000000000,6,0.7542374,-1.2010953
1882-07-16 12:00:00.000000000,7,0.5346885,-1.26504
1882-08-16 12:00:00.000000000,8,0.9509943,-1.344527
1882-09-16 00:00:00.000000000,9,0.0022773524,-0.32516855
1882-10-16 12:00:00.000000000,10,0.064830266,-0.4661016
1882-11-16 00:00:00.000000000,11,-0.19664559,-0.8123397
1882-12-16 12:00:00.000000000,12,0.04594209,-0.94372517
1883-01-16 12:00:00.000000000,1,0.7962071,-1.2822539
1883-02-15 00:00:00.000000000,2,0.83671695,-1.2341567
1883-03-16 12:00:00.000000000,3,0.661124,-0.9717483
1883-04-16 00:00:00.000000000,4,0.49278054,-0.39439404
1883-05-16 12:00:00.000000000,5,-0.118525445,0.024519393
1883-06-16 00:00:00.000000000,6,0.28775313,0.07876692
1883-07-16 12:00:00.000000000,7,0.63530904,-0.1256713
1883-08-16 12:00:00.000000000,8,0.3636127,-0.34269598
1883-09-16 00:00:00.000000000,9,0.1314068,-0.21678078
1883-10-16 12:00:00.000000000,10,-0.10479714,0.031618353
1883-11-16 00:00:00.000000000,11,0.33272496,-0.00871444
1883-12-16 12:00:00.000000000,12,0.3413134,-0.35758644
1884-01-16 12:00:00.000000000,1,0.59202164,-0.42480767
1884-02-15 12:00:00.000000000,2,0.80476815,-0.40429482
1884-03-16 12:00:00.000000000,3,0.61356133,0.2564401
1884-04-16 00:00:00.000000000,4,0.6910432,0.52441317
1884-05-16 12:00:00.000000000,5,1.1439294,0.25960064
1884-06-16 00:00:00.000000000,6,0.5341007,-0.028481998
1884-07-16 12:00:00.000000000,7,1.068899,-0.08090159
1884-08-16 12:00:00.000000000,8,0.86547655,0.08885306
1884-09-16 00:00:00.000000000,9,0.5431955,0.31905565
1884-10-16 12:00:00.000000000,10,0.28951347,0.6991015
1884-11-16 00:00:00.000000000,11,0.075652376,1.03671
1884-12-16 12:00:00.000000000,12,0.372895,1.0061759
1885-01-16 12:00:00.000000000,1,0.4136796,0.4666328
1885-02-15 00:00:00.000000000,2,0.697633,0.12226719
1885-03-16 12:00:00.000000000,3,1.2236214,-0.5604969
1885-04-16 00:00:00.000000000,4,1.0347865,-0.47987947
1885-05-16 12:00:00.000000000,5,2.0677874,-0.95321745
1885-06-16 00:00:00.000000000,6,1.3237975,-0.84542835
1885-07-16 12:00:00.000000000,7,0.9097302,-0.5500301
1885-08-16 12:00:00.000000000,8,1.198444,-0.24725659
1885-09-16 00:00:00.000000000,9,1.3009442,0.10255879
1885-10-16 12:00:00.000000000,10,1.5981492,0.026903767
1885-11-16 00:00:00.000000000,11,1.3858558,0.3362712
1885-12-16 12:00:00.000000000,12,1.3616339,0.45515862
1886-01-16 12:00:00.000000000,1,1.5329671,-1.2544869
1886-02-15 00:00:00.000000000,2,1.303526,-1.4501452
1886-03-16 12:00:00.000000000,3,1.833204,-1.688438
1886-04-16 00:00:00.000000000,4,1.2254509,-1.3372939
1886-05-16 12:00:00.000000000,5,0.43711862,-1.4569453
1886-06-16 00:00:00.000000000,6,0.12569042,-1.5140629
1886-07-16 12:00:00.000000000,7,-0.051602874,-1.0756471
1886-08-16 12:00:00.000000000,8,-0.30881783,-1.1988147
1886-09-16 00:00:00.000000000,9,-0.59619915,-0.8175699
1886-10-16 12:00:00.000000000,10,-0.5951451,-0.8227398
1886-11-16 00:00:00.000000000,11,-0.9403641,-0.66854894
1886-12-16 12:00:00.000000000,12,-1.4403542,-0.6326615
1887-01-16 12:00:00.000000000,1,-0.76234555,-0.50145054
1887-02-15 00:00:00.000000000,2,0.059464358,-1.3831712
1887-03-16 12:00:00.000000000,3,-0.4607395,-1.1649678
1887-04-16 00:00:00.000000000,4,-0.8197241,-0.74348617
1887-05-16 12:00:00.000000000,5,-0.6751937,-0.58921
1887-06-16 00:00:00.000000000,6,-0.11756678,-0.22270715
1887-07-16 12:00:00.000000000,7,-0.13556719,-0.0820712
1887-08-16 12:00:00.000000000,8,-0.36544272,-0.46542197
1887-09-16 00:00:00.000000000,9,-0.4019887,0.25078523
1887-10-16 12:00:00.000000000,10,0.02615126,0.068948545
1887-11-16 00:00:00.000000000,11,0.15410154,0.26015323
1887-12-16 12:00:00.000000000,12,0.13335901,0.3903477
1888-01-16 12:00:00.000000000,1,0.0764598,0.4452158
1888-02-15 12:00:00.000000000,2,0.8501117,0.32883778
1888-03-16 12:00:00.000000000,3,0.91748446,0.20957053
1888-04-16 00:00:00.000000000,4,0.7262154,0.5270623
1888-05-16 12:00:00.000000000,5,0.64981717,1.1416287
1888-06-16 00:00:00.000000000,6,0.74019116,1.0828115
1888-07-16 12:00:00.000000000,7,0.71661687,0.78381366
1888-08-16 12:00:00.000000000,8,0.9111706,0.9074988
1888-09-16 00:00:00.000000000,9,0.044519547,2.350456
1888-10-16 12:00:00.000000000,10,1.4982173,2.0210025
1888-11-16 00:00:00.000000000,11,2.0266762,2.347862
1888-12-16 12:00:00.000000000,12,1.8761358,1.677462
1889-01-16 12:00:00.000000000,1,1.56413,2.2808695
1889-02-15 00:00:00.000000000,2,1.1502948,1.6371219
1889-03-16 12:00:00.000000000,3,0.9002144,1.0509318
1889-04-16 00:00:00.000000000,4,0.62024784,0.69718856
1889-05-16 12:00:00.000000000,5,0.85256946,0.22542396
1889-06-16 00:00:00.000000000,6,0.49879423,-0.13355625
1889-07-16 12:00:00.000000000,7,0.39028218,-0.8620347
1889-08-16 12:00:00.000000000,8,0.30080888,-1.1859801
1889-09-16 00:00:00.000000000,9,0.3789908,-1.2710704
1889-10-16 12:00:00.000000000,10,-0.4658124,-1.2096314
1889-11-16 00:00:00.000000000,11,-0.5333273,-0.7439768
1889-12-16 12:00:00.000000000,12,-1.1248728,-0.22604413
1890-01-16 12:00:00.000000000,1,-2.4814353,-0.53181577
1890-02-15 00:00:00.000000000,2,-1.7828518,-0.6550878
1890-03-16 12:00:00.000000000,3,-0.4097261,-0.7196808
1890-04-16 00:00:00.000000000,4,-0.30115142,-1.0615638
1890-05-16 12:00:00.000000000,5,-0.43246824,-0.8600258
1890-06-16 00:00:00.000000000,6,-1.053023,-0.4513249
1890-07-16 12:00:00.000000000,7,-0.8506079,-0.5482684
1890-08-16 12:00:00.000000000,8,-1.7801749,-0.19111657
1890-09-16 00:00:00.000000000,9,-1.7540612,-0.04098444
1890-10-16 12:00:00.000000000,10,-1.3463587,-0.3549598
1890-11-16 00:00:00.000000000,11,-1.1734991,-0.41783372
1890-12-16 12:00:00.000000000,12,-0.48839343,-0.32370126
1891-01-16 12:00:00.000000000,1,-0.30207562,-0.098037355
1891-02-15 00:00:00.000000000,2,0.008827801,-0.01917922
1891-03-16 12:00:00.000000000,3,0.316206,0.19353417
1891-04-16 00:00:00.000000000,4,0.4230957,0.51005745
1891-05-16 12:00:00.000000000,5,0.6502983,0.5051093
1891-06-16 00:00:00.000000000,6,0.43867958,0.65024376
1891-07-16 12:00:00.000000000,7,0.27440017,0.62521726
1891-08-16 12:00:00.000000000,8,0.3734618,0.19243337
1891-09-16 00:00:00.000000000,9,0.40535036,-0.25787953
1891-10-16 12:00:00.000000000,10,0.51537865,-0.36947227
1891-11-16 00:00:00.000000000,11,0.4658213,-0.1757284
1891-12-16 12:00:00.000000000,12,0.28239816,-0.041722808
1892-01-16 12:00:00.000000000,1,-0.3741623,-0.05191909
1892-02-15 12:00:00.000000000,2,-0.10043095,-0.22600253
1892-03-16 12:00:00.000000000,3,-0.53534526,-0.27331775
1892-04-16 00:00:00.000000000,4,-0.79112756,-0.2194776
1892-05-16 12:00:00.000000000,5,-0.23340067,-0.7557623
1892-06-16 00:00:00.000000000,6,-0.152905,-0.70828485
1892-07-16 12:00:00.000000000,7,-0.52413094,-0.4568973
1892-08-16 12:00:00.000000000,8,-0.55873835,-0.67205054
1892-09-16 00:00:00.000000000,9,-1.0760475,-0.92631346
1892-10-16 12:00:00.000000000,10,-2.0023973,-0.9635847
1892-11-16 00:00:00.000000000,11,-1.8251271,-0.99084985
1892-12-16 12:00:00.000000000,12,-0.97462255,-1.2842717
1893-01-16 12:00:00.000000000,1,-0.26351863,-1.8841767
1893-02-15 00:00:00.000000000,2,-0.47689715,-1.5140682
1893-03-16 12:00:00.000000000,3,-0.91664207,-1.0264742
1893-04-16 00:00:00.000000000,4,-1.5901854,-0.554763
1893-05-16 12:00:00.000000000,5,-1.5529963,-0.45477077
1893-06-16 00:00:00.000000000,6,-1.513502,-0.5275201
1893-07-16 12:00:00.000000000,7,-2.4089477,-0.11210666
1893-08-16 12:00:00.000000000,8,-2.421661,-0.06991075
1893-09-16 00:00:00.000000000,9,-2.4306633,0.23197448
1893-10-16 12:00:00.000000000,10,-2.2383363,0.17502736
1893-11-16 00:00:00.000000000,11,-1.9868749,0.3636683
1893-12-16 12:00:00.000000000,12,-1.6721476,0.060659852
1894-01-16 12:00:00.000000000,1,-1.7121938,0.21836713
1894-02-15 00:00:00.000000000,2,-2.1006532,0.34323797
1894-03-16 12:00:00.000000000,3,-1.7520121,0.20576741
1894-04-16 00:00:00.000000000,4,-1.634177,0.20492835
1894-05-16 12:00:00.000000000,5,-1.3615836,-0.005817867
1894-06-16 00:00:00.000000000,6,-1.4639753,0.286402
1894-07-16 12:00:00.000000000,7,-1.111618,0.15596235
1894-08-16 12:00:00.000000000,8,-1.0626932,0.0149733005
1894-09-16 00:00:00.000000000,9,-1.4049793,-0.059205744
1894-10-16 12:00:00.000000000,10,-0.94557536,-0.16511445
1894-11-16 00:00:00.000000000,11,-0.92257357,-0.2745269
1894-12-16 12:00:00.000000000,12,-0.6420078,-0.004007491
1895-01-16 12:00:00.000000000,1,-0.6355886,-0.21977463
