time,IOD_index,DMI_detrend
1997,1.3694513407470197,1.0986541865761694
1998,0.102889695886195,-0.5333106334367983
1999,-0.5132045676110478,-0.0454531990779401
2000,-0.10574923084843851,-0.12162111652943963
2001,-0.03393544292485587,-0.2503118609534454
2002,0.9032944800680199,0.3117035079432924
2003,0.19691252803546894,-0.1193826641455189
2004,0.048326583317985936,-0.06833472690405529
2005,-0.7079764408594594,-0.3990681535550209
2006,0.4907480216553082,0.5098982956972691
2007,-0.6116034061547014,0.07776064538995797
2008,0.13770935619395167,-0.018530441148868704
2009,0.7451823903034064,-0.09361080695776991
2010,-0.8479452513426902,-0.43865050522074966
2011,0.5206554371883392,0.25206335021692894
2012,0.5975771681824237,0.1104909352865775
2013,-0.3836460432035108,-0.16207311179528006
2014,0.30667850871755997,-0.0945790203157344
