conflict_id,year,latitude,longitude,coder
288,1976,17.093428,18.867245,Tyler
288,1986,17.576737,18.924376,Tyler
288,1989,11.219592,20.670771,Tyler
288,1997,8.569999695,16.07999992,Helge Holtermann
288,2005,13.4666996,22.20000076,Helge Holtermann
288,2018,12.561781,19.059112,Tyler
288,2020,12.92507,18.752483,Tyler
288,2023,21.349789,15.949948,Tyler
289,1964,4.63693,-74.105107,Tyler
289,2018,2.121722,-74.766141,Tyler
290,1965,18.46666718,-69.90000153,Helge Holtermann
291,1965,-1.5,134,Helge Holtermann
291,1967,-1.219546,133.033406,Tyler
291,1976,-5,138,Helge Holtermann
291,1981,-1.430523,133.196991,Tyler
291,1984,-1.446972,132.854866,Tyler
291,2018,-4.342461,138.219067,Tyler
291,2021,-3.923227,137.635618,Tyler
292,1965,-9999,-9999,Helge Holtermann
292,1982,-13.65559959,-73.95310211,Helge Holtermann
292,2007,-12.35,-74.75,Johan Dittrich Hallberg
293,1965,13.916208,108.371103,Tyler
294,1977,11.717021,105.97824,Tyler
294,2011,14.390857,104.68059,Tyler
295,1966,5.550000191,-0.216666698,Helge Holtermann
295,1981,5.550000191,-0.216666698,Helge Holtermann
295,1983,6.608529,-1.600144,Tyler
296,1966,22.88333321,92.73332977,Helge Holtermann
297,1966,6.900818,3.350196,Tyler
297,2009,10.313441,9.843273,Tyler
297,2011,11.84644,13.160274,Tyler
298,1966,-17.75,14.82999992,Helge Holtermann
299,1966,33.5,36.29999924,Helge Holtermann
299,1979,36.20277786,37.1586113,Helge Holtermann
299,2011,35.566667,36.033333,Tyler
300,1967,12.67199993,102.7409973,Helge Holtermann
300,1978,11.80000019,106.1999969,Helge Holtermann
301,1967,30.880436,33.551216,Tyler
302,1967,33.025934,35.752004,Tyler
302,1973,33.025934,35.752004,Tyler
303,1967,6.866700172,7.383299828,Helge Holtermann
303,2021,5.7569,6.94613,Tyler
304,1969,26.83335,97.744424,Tyler
305,1969,46.486489,133.843736,Tyler
306,1969,14.37406,-89.20961,Tyler
307,2000,8.546099663,-9.469400406,Helge Holtermann
308,1970,8,125,Helge Holtermann
308,1993,8,125,Helge Holtermann
309,1971,15.58805561,32.53416824,Helge Holtermann
309,1976,15.58805561,32.53416824,Helge Holtermann
