Series Name,Series Code,Country Name,Country Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Population growth (annual %),SP.POP.GROW,Guatemala,GTM,2.49465435437886,2.59069154291441,2.67176606345182,2.71559914034248,2.73968844818146,2.75409483924612,2.76317062575419,2.76856424602669,2.76824690553245,2.75932199526975,2.7344725274704,2.68942960064747,2.62466867420162,2.55062347651691,2.49055887242206,2.45298879260223,2.40272092118981,2.35805923280234,2.36198748317176,2.36947641185089,2.43394364463754,2.40240090043075,2.29788241650457,2.18074524550455,2.12598597102736,2.07717063066365,2.02622809680574,1.97596216713401,1.92744763752889,1.88106343818981,1.83655642844003,1.81948775605672,1.77749578673149,1.75716769812924,1.72875760277972,1.69146509302391,1.65807331834237,1.62765379973835,1.60038598150372,1.56038604781094,1.51998785357799,1.4803168061015,1.43986849494773,1.39900898821501
Population growth (annual %),SP.POP.GROW,Guinea,GIN,1.77346304539696,1.88885416460152,2.0180877460392,2.13426156443151,2.24281182263411,2.37033270524635,2.49443422710579,2.60007682223029,2.65148057242348,2.62520688380786,3.49072387036051,4.03433954932101,3.21952468826643,3.08278482668984,3.01968491213543,2.80029938952256,2.83513743678971,2.05716146068419,1.89125537226619,2.25588851011695,1.96313638467112,1.29599678025488,1.55168555991374,2.24174813408231,2.12923941806619,1.9786677950531,2.06291427897393,2.29335572388692,2.40819421004136,2.43976227038861,2.45827846352306,2.47131110815721,2.44875299812511,2.44231614129791,2.48293200818758,2.54927671891363,2.58950004128743,2.56349381271807,2.53344244221774,2.5376470778001,2.51225012110646,2.44431721949133,2.39091413366776,2.36211734721627
Population growth (annual %),SP.POP.GROW,Guinea-Bissau,GNB,1.19343727106908,1.61001414409027,1.60523572926371,1.59030609437012,1.57127861114994,1.55385934859225,1.54715054366933,1.55072495797513,1.56798233274862,1.59461102696275,1.5852986794001,2.06421152170118,2.88085929592715,3.25629287604445,3.06176886628976,2.5018988635159,2.0712699677972,1.89658783588579,1.84346758609391,1.87435550327809,2.00021192650957,2.1326015824877,2.22560146575472,2.30469146620396,2.35534585979133,2.39889276052679,2.46114153135878,2.54710395639989,2.57645836046792,2.5710829245713,2.58699749262038,2.63200843432739,2.67971667869759,2.68850117447374,2.6479419321498,2.58264954343545,2.51887831990535,2.43789093573311,2.37233714760758,2.33629046990663,2.27645335668636,2.20258924567144,2.15283930362989,2.12750787782784
Population growth (annual %),SP.POP.GROW,Guyana,GUY,0.475830088761782,0.19385548564391,-0.00602824940461058,-0.162643303455231,-0.304301824070387,-0.430819726222632,-0.54023706850006,-0.626807446223678,-0.690602131394489,-0.734844478245065,-0.770797136038007,-0.405040212764004,0.121147504498698,0.29366313666619,0.314952472997015,0.285498467011669,0.250056598946645,0.217393983476552,0.196572870638028,0.173894601924288,0.136711368532353,0.0998117091672832,0.0676257087659106,0.0314290695177204,-0.0181461236827469,-0.0940707231179221,-0.176802788474664,-0.243714507438187,-0.313900504723792,-0.384215250307409,-0.443706996010097,-0.49619379069059,-0.0354791980047339,0.46319412619233,0.493149307612364,0.52000388065714,0.53575873239208,0.547185665228521,2.8750028594538,1.67134809737405,-0.194366443701065,0.919614738982755,0.515592544369467,0.629624405206613
Population growth (annual %),SP.POP.GROW,Haiti,HTI,1.97184290911044,1.990462206484,2.01911312575433,2.02197581058211,2.01684204761959,2.03164635489726,2.05318577146398,2.06865076100303,2.07727078684654,2.07321084258131,2.05952182457413,2.01164838947874,1.95811490862095,1.92642979077471,1.88989857791315,1.86892486465026,1.861046656428,1.84349433438618,1.82432926055518,1.81992095136481,1.82614145032597,1.79596365914658,1.744825137965,1.72490029683628,1.67941646661672,1.66448553299086,1.68016163386105,1.65399026348443,1.62585605595915,1.6098133370454,1.1468886718608,1.12574729606877,1.53746880756048,1.49898644905428,1.46596797524852,1.43989350727897,1.41082121304761,1.38753007437198,1.36113131762731,1.33513859245585,1.30291995864045,1.23729899666313,1.19334195623455,1.19922882982183
Population growth (annual %),SP.POP.GROW,Honduras,HND,3.09817130454027,3.06904995046808,3.031585844239,2.99618987111525,2.95591495030146,2.90840480945734,2.87274054072188,2.84181820707445,2.80967440679007,2.79764298849405,2.80060965015231,2.80313581156353,2.80594685995967,2.80543025160191,2.80011388162174,2.78931851535589,2.77755908396057,2.7650746444425,2.64095706252099,2.64099963918582,2.73138300029784,2.68473415634022,2.62751491094002,2.5592129363433,2.48929432977264,2.42460040894439,2.35921073577649,2.28811343765187,2.21289893099486,2.14336495538161,2.07597795876773,2.00986802562652,1.95084289919704,1.89595914681821,1.84861910603263,1.8093624065659,1.77333693683233,1.73985038012617,1.7097289071087,1.68069668453135,1.622836376932,1.5351396675707,1.49211855882432,1.53082951071852
Population growth (annual %),SP.POP.GROW,"Hong Kong SAR, China",HKG,2.6700809652344,2.3482267682345,1.55249627039205,1.51940790612199,0.982973566854865,1.07425877163635,1.24582698320867,1.00675315207366,0.840468540728853,1.03591232011459,0.321315033221987,0.829228336445851,0.839650031457883,1.71777073417072,2.25203043111788,1.98013277729748,4.43860779481101,0.832512854813318,0.834808807338866,0.955125814331738,0.881594075853745,0.736962668138432,0.44284682728195,-0.197404126472125,0.77991856230718,0.436871406105885,0.642270482876128,0.859633272217027,0.598238786949717,0.215353334344996,0.734446396338105,0.672543291818633,1.1039579972368,0.401982535858444,0.702370950536049,0.851197911086988,0.619366345332479,0.768513877614955,0.800230596967774,0.739283471323064,-0.358932661902885,-0.91177674914823,-0.907914524343304,2.55352466697343
Population growth (annual %),SP.POP.GROW,Hungary,HUN,0.0650937293271125,0.00677777171213337,-0.0589521155113363,-0.150240752751468,-0.20009784947921,-0.181847163431744,-0.170579145153423,-0.167798788201122,-0.153272935554963,-1.08898389340205,-1.03311729690015,-0.00566818338922841,-0.0391365832684134,-0.114035594392761,-0.13688310430324,-0.139220003601429,-0.171771608629025,-0.201458936335808,-0.232679336866497,-0.283260610485194,-0.259764908288633,-0.229379183308447,-0.28475137719698,-0.286433268128688,-0.221439378654807,-0.198878843237103,-0.155716484651578,-0.154915158060948,-0.17509736747488,-0.154908813950621,-0.226013875689698,-0.283360435946948,-0.516437606548041,-0.27536875707442,-0.269378767165116,-0.237855001984657,-0.295110604845478,-0.265860932255517,-0.126786951652838,-0.0452557101106228,-0.215067837129585,-0.413751024472153,-0.690781547965424,-0.552969965032594
Population growth (annual %),SP.POP.GROW,Iceland,ISL,1.05889641076766,1.14058326061081,1.33661040915962,1.32404443001488,1.06362548027328,0.787667614423245,0.732588890898599,1.09562910072455,1.56621758114814,1.23839606356716,0.777662198585402,1.15914942010018,1.25663207739645,1.01681192843817,0.866835946606811,0.542467997811547,0.539913016609299,0.819197091458816,1.07085904319717,1.20923878595741,1.36919283329812,1.32929525456819,0.892596377462957,0.692497620476186,0.8779361576874,1.58289197780465,2.34742243028387,2.53008548940662,1.85957217059918,0.341241978970882,-0.143903000294037,0.305468368224399,0.532100734916982,0.945885900369151,1.11250475522796,1.04194038662969,1.38808149583838,2.34558267643862,2.67814276922904,2.19893225826166,1.6230862512591,1.6393166402584,2.51377343254216,2.99067031992196
Population growth (annual %),SP.POP.GROW,India,IND,2.2612188534673,2.27589299161564,2.26080777945204,2.25868924622921,2.26275505157058,2.24836240132238,2.23527124737904,2.21094603012958,2.184281790986,2.16921748136657,2.14114053890499,2.10189105362679,2.07434424472354,2.04783736093956,2.02085601987654,1.99187122902055,1.95143550144522,1.91926259528322,1.88755786468172,1.8493332514954,1.82218400218023,1.80844642123748,1.77676787418134,1.72426903226703,1.67281087022876,1.60412916927926,1.52430796041014,1.46637175001498,1.42239150883577,1.39119493033754,1.37759581159767,1.36158808453343,1.33219204981494,1.29754883539168,1.24036218382689,1.18779532005068,1.18504622906796,1.15562449067646,1.08752772157855,1.02531077187097,0.95522085775158,0.797216093898126,0.680372581057012,0.805014301342575
Population growth (annual %),SP.POP.GROW,Indonesia,IDN,2.37932952200941,2.34066633687342,2.30844263861505,2.26871796150833,2.20569643602313,2.10887582043187,1.9966681756408,1.92425957581405,1.88061055652599,1.83542933625866,1.77829086687315,1.74217749925866,1.71013530352426,1.67182800963408,1.65068557714402,1.63416751970142,1.61881686064568,1.60308930027037,1.56493286270644,1.50004294345816,1.44708848408903,1.4100988547982,1.37351928060869,1.33804389134874,1.27322648868512,1.26074829560286,1.29930889873663,1.31184759614566,1.30217053507895,1.27153208994292,1.25151729140412,1.25573808861315,1.25594145835811,1.21281780987831,1.15950664180271,1.1108549322781,1.05894205868913,1.00643952446092,0.966206435866139,0.937689273635294,0.840389268128048,0.694717688319757,0.636555115146439,0.735139895418266
Population growth (annual %),SP.POP.GROW,"Iran, Islamic Rep.",IRN,3.47513143153372,4.9520582474037,4.87893747585362,3.53206953691521,3.57048963248047,3.52642325430433,3.42534490965137,3.27465279782194,3.0598132400628,2.89906313102692,3.92763404063868,3.86261212941662,2.35371957141242,0.643706109370984,0.384695200039076,1.33973896938307,1.31311319862575,1.4219497200906,1.55771417374628,1.58414187759209,1.64539194870845,1.7100319119575,0.973524734407785,0.927820930669199,1.61586394638623,1.61004001098983,1.54559660977253,1.4536370817991,1.37188502638988,1.36047026604448,1.40442428093574,1.27755003393578,1.27742540846959,1.45650590321443,1.897214219374,2.26178492558276,1.83580791714073,1.42882552688137,1.30788220910804,1.0995932626289,0.83517614833256,0.722822505475776,0.710745642903734,0.700188903168177
Population growth (annual %),SP.POP.GROW,Iraq,IRQ,3.12098745575255,2.986380721467,2.80672227281537,2.96946525668905,3.12629806873681,2.42101931421202,2.47247280987979,2.74734620894135,2.31853630550079,2.64462026819099,1.22955982403631,1.05900596016074,2.97711455412806,4.83166684816588,4.81712400370142,3.40245056118517,3.24284505977524,3.14529632758924,3.18515331886969,3.2739296689177,3.33624669433987,3.18401734533544,3.2110492891941,3.05131116311828,2.87715845950826,2.96970606467236,0.718432208523802,-0.850221916193164,1.92646265531762,3.5987933376422,3.17093320217157,3.4985800882497,4.4884639176917,4.6654185971967,3.50227675046767,2.71497647013538,2.45940250005547,2.35769232939234,2.41756068668666,2.36838831392184,2.36211183923937,2.26888921028968,2.18691693437269,2.24105014081182
Population growth (annual %),SP.POP.GROW,Ireland,IRL,1.15081833848717,1.17103496729061,0.9454154697589,0.708938993466408,0.619707470509402,0.16007346599323,0.0454380284548886,0.0103676021283962,-0.427686063650556,-0.396250751919345,0.0844130206737995,0.574927781205802,0.6822567779864,0.499840487112985,0.394187638653739,0.512695055318523,0.791271346994459,1.00281473521859,1.04307683611147,1.12729955649471,1.33304266586712,1.59215149039299,1.68514885730282,1.62895096193019,1.82831381790901,2.17870301355631,2.69600564359576,2.89096000464164,2.03870801117202,1.01566327592341,0.544884384079014,0.436072439258428,0.4237438032978,0.526556158855653,0.731001376585771,0.944845307474728,1.12883406399428,1.08867556062,1.23887545258946,1.36762695363797,1.02911050277336,0.953878183519474,1.8505037841192,2.60299259103173
Population growth (annual %),SP.POP.GROW,Isle of Man,IMN,1.33656092833688,0.833727025633485,0.14859303727813,-0.086652436332176,-0.151822675524432,-0.192433095789493,0.444827491289455,1.36850627117273,1.63707415790168,1.64318753421552,1.64712189796695,1.30560515818502,0.766724916585422,0.571563849914989,0.541593944650843,0.50509409512558,0.734830928845318,1.12176014310421,1.27492854399235,1.2682537997018,1.19018911438933,1.10030065051098,1.02227077083137,0.974724391824046,0.942439421736094,0.933640362384973,1.0185313836682,1.08103799975669,1.09997001077714,1.11333254369235,1.09510938916344,0.620772843428076,-0.0142274495165514,-0.230291764982335,-0.295168031488441,-0.361815200458878,-0.171213441967113,0.155660691192532,0.233037660360485,0.188422790499936,0.134540647396739,0.257859199732084,0.303350115903421,0.225729728476368
Population growth (annual %),SP.POP.GROW,Israel,ISR,2.4009504033329,1.99138569400056,1.8781070374563,1.81912587693629,1.30689178563831,1.7636300778012,1.54714759753579,1.61517124551543,1.65705755029368,1.69646925735759,3.09460300917429,6.01700878321945,3.45546689873163,2.6580917791605,2.58926284874797,2.66828695661805,2.61650594252757,2.49839504329334,2.28687869043162,2.54643388659354,2.64233191305756,2.35711729946802,2.01405839404727,1.80551975888109,1.76762364154994,1.76289766113006,1.76780587358185,1.7761008691798,1.7765791059698,2.39020733801215,1.82675240987847,1.84807786159597,1.84615132126711,1.86605289478673,1.91954379859591,1.98128897562083,1.9603489624817,1.93872567441099,1.92662286520241,1.90898263957994,1.76367939210866,1.68190551747412,1.96636884788361,2.06280419087907
Population growth (annual %),SP.POP.GROW,Italy,ITA,0.20599975185947,0.12005432007943,0.0740818599916188,0.0362946366697159,0.0223509131041464,0.0288999392122477,0.00544928189677628,0.0102051195547741,0.0483205970471755,0.0750090045352437,0.0837085729587984,0.0692311889532843,0.0679244330808808,0.061135853002924,0.0203720739457194,0.00158856230917393,0.0281044080072756,0.05290695026061,0.0287740158774372,0.0168208444553697,0.045303631138613,0.0561676014374784,0.148916429490753,0.444507312655549,0.647182705470772,0.491389107503214,0.30055968851778,0.504933687397673,0.662469252941527,0.455613449577732,0.30759122234095,0.171978290995717,0.269541239520996,1.1592511168095,0.917504095962437,-0.0963761331392095,-0.169884073301448,-0.14986111697397,-0.190063640113791,-1.15302842389952,-0.487095091717782,-0.515599998844444,-0.326488181067642,-0.304633382751779
Population growth (annual %),SP.POP.GROW,Jamaica,JAM,1.3487117647391,1.44630749948743,1.509282673142,1.49700881643356,1.39267790105118,1.22627671807335,1.03479709055413,0.875908092582014,0.791298188886025,0.785085787110084,0.78335984523667,0.825875856700541,0.937065618118952,1.00081838536713,1.01634538906672,1.00890923271719,0.932999989691165,0.867169704732637,0.842367313769332,0.761829204738964,0.611850749006637,0.504047760220551,0.487837447460561,0.483356775927262,0.48906495556364,0.480782489174805,0.476920503498281,0.42891014375515,0.375125564741813,0.405906286917041,0.421348654823536,0.447915144043708,0.495752366688783,0.481191238304142,0.410748099114478,0.354975145947794,0.294793625837463,0.202492605820257,0.123091479545611,0.0688992221522009,0.236519557799568,0.257040921915097,-0.0112465411699634,-0.0648514304106601
Population growth (annual %),SP.POP.GROW,Japan,JPN,0.788153475885542,0.728460836014089,0.693656149424745,0.695583303069267,0.648316736732903,0.625935963624604,0.532357366362317,0.482035496974784,0.416110342195181,0.399761164504292,0.33178288536374,0.392819832481862,0.371192387198527,0.32416759914373,0.279192363973672,0.234590173412918,0.226884732460898,0.238271217591483,0.271729610231193,0.182586374140107,0.167275578113187,0.240952587521069,0.232527187105684,0.213980948779682,0.0336622582725446,0.00939209655766336,0.0633735894181335,0.114908847726211,0.0484253945978966,-0.0124946312294096,0.0179605415195644,-0.185226486410846,-0.159710675844347,-0.144271883387076,-0.132694222147042,-0.106124993746747,-0.0511374152133631,-0.081874296046114,-0.126880068088791,-0.140464977878172,-0.294194617750067,-0.459952415807642,-0.443851919148528,-0.487370782049143
Population growth (annual %),SP.POP.GROW,Jordan,JOR,3.62038822263842,3.96872462873427,4.23122379195464,4.40766517551833,4.4773339184401,4.5182658004112,4.55771900371839,4.57778324454832,4.61799413984365,4.75580914953832,4.99645923378023,5.20035687843464,5.32452640722867,5.26071964383574,4.84674260687139,4.12195625087521,3.31966384276846,2.67591298839406,2.31242740294799,2.17201120457383,2.10659408273097,2.09677758965608,2.1501680651457,2.26000934810202,2.49462542491271,2.60672257408209,6.75790900912969,6.34380871094335,2.43277656402626,2.20117695037558,2.19915131357546,2.54581045628308,1.42278781713891,6.48192864156847,11.7940156559538,9.21991788769051,4.83585013508326,2.48500934190509,2.36510265786667,2.25750975365016,2.12736281777905,1.98907685592122,1.22663656612596,0.452488759778546
Population growth (annual %),SP.POP.GROW,Kazakhstan,KAZ,1.52801509654529,1.57287250765573,1.63128105647953,1.70590697338369,1.74225534840213,1.73903028550651,1.97840348459854,2.20925871402086,2.20364730901752,-1.10827022537126,0.60434266304362,0.632391825851526,-0.0767144509545815,-0.356023622657981,-1.44442551102409,-2.06203981757278,-1.51632157147922,-1.57752375406098,-1.72841644846206,-0.955113481670914,-0.300201486690526,-0.170069526322763,0.00412554539450457,0.336408913793247,0.694909484311257,0.888898042702025,1.05767130866502,1.14385123349431,1.87296209612182,1.98240805691531,1.41327147745347,1.43151244887822,1.40867688701824,1.43944535624798,1.47267087305755,1.46148468519161,1.42204614032925,1.36038126908993,1.31452298457883,1.28960848954226,1.29863532544565,2.29640758923114,2.28528529025291,1.34158039345206
Population growth (annual %),SP.POP.GROW,Kenya,KEN,3.56247231910082,3.63268304760596,3.65874486828768,3.70928851646282,3.71398490244611,3.65950445523804,3.57858741519746,3.51480018991794,3.50098905227389,3.46143657685424,3.40083169114175,3.21165201895544,3.03679051921495,2.94184248128658,2.87998841109113,2.8093665377808,2.70647369514666,2.67442877916419,2.68916027366031,2.80126932153904,2.91544684198394,3.02882685482353,3.03360977756994,2.96744335273422,2.98951543624097,2.97658073983056,2.97471111652036,2.96582480091057,2.97884515479232,2.96069187652137,2.8175240671163,2.65543505812038,2.52595644302294,2.40993136403743,2.2941780158286,2.20032211952888,2.20214556198549,2.17570842690355,2.03273400450275,1.97845694844255,2.00970011079671,1.94276128252757,1.90951031059953,1.96674157342146
Population growth (annual %),SP.POP.GROW,Kiribati,KIR,1.72160685618686,1.73126389825974,1.76533594799035,1.80023430089355,1.88018732052436,2.07510891763956,2.30869530652262,2.43116769492361,2.44882528928799,2.42025099312841,2.27258030207318,1.96136408217237,1.66850673243696,1.51855855176381,1.46968263408892,1.50486626103987,1.64445959258351,1.76622995152552,1.76005201794657,1.71471727613839,1.74549473198221,1.90129335529483,2.04346451592179,2.03754196746088,2.01764084838712,1.99607425625382,1.93602923599118,1.89533635203291,1.9110717364553,1.93374349375449,1.86835722052213,1.72220205807577,1.57753769269312,1.50539234360214,1.46654343733585,1.48648352823644,1.53561388437723,1.54812092405828,1.56542354171621,1.60651238884126,1.77265475198411,1.88854075847608,1.81315663594675,1.72470818693557
Population growth (annual %),SP.POP.GROW,"Korea, Dem. People's Rep.",PRK,1.4259579252198,1.44471053222166,1.45296347351159,1.44489273059819,1.44802221713044,1.4612108663707,1.47697544945146,1.47207915705238,1.46417112328657,1.46221942499228,1.47508075307573,1.50789243922554,1.52489382821321,1.54135344270226,1.51425550655911,1.26010300930167,1.01694918601768,0.937585815556236,0.856095440228289,0.782479876039855,0.698115634060685,0.620583476817431,0.533984339747177,0.60436980005948,0.700697475242568,0.632894010472634,0.557668311641366,0.496973102800538,0.460993034958389,0.458556258017028,0.425940886169344,0.393586759082814,0.418674807001654,0.457206407016513,0.49597980701513,0.523515080357903,0.519654351165206,0.497821203562078,0.476315091651054,0.456446820087896,0.434017300434564,0.402945210274924,0.374729560022698,0.35000834215513
Population growth (annual %),SP.POP.GROW,"Korea, Rep.",KOR,1.55846267819582,1.56020399239876,1.54546853308404,1.47421882108841,1.23401831140412,0.984565597108821,0.99472386803381,0.985133112424576,0.979189224150187,0.989093268458301,0.985130494218767,0.989785981821526,1.03916135557339,1.01582143742509,1.00615724501748,1.00620085457685,0.952779421852704,0.937713808920155,0.72186501759031,0.710794593061376,0.836180864297766,0.767241774760276,0.577957276814842,0.518321452985646,0.396331436697806,0.211997784117548,0.525199940498775,0.505234032920336,0.759316681850927,0.514682827535803,0.49822508440111,0.768971758582589,0.525713660600414,0.455218622164662,0.628149861433639,0.527288497407793,0.396851823381145,0.280968018301691,0.433519027613049,0.347874968577526,0.137869266247028,-0.128757315474928,-0.187486566698935,0.077477253324535
Population growth (annual %),SP.POP.GROW,Kosovo,XKX,2.40635616192922,2.38876413604899,2.31706560888592,2.37420556054786,2.36741111777344,2.29520479940121,2.197687562698,2.05733910731749,1.79903664939245,1.67262210378134,1.74383134776472,1.86525692297085,1.83365147351174,1.70000836162043,1.62401998531121,1.57476676123342,1.49759897305568,1.42281371437745,-5.32677942762829,-10.1573793821088,-3.51843267891487,0.926432472973796,0.354213856393241,-0.399380815927376,-0.391430652434404,-0.393133233881963,-0.405797451423854,-0.409991971488962,-0.379235298953869,-0.327924142653747,-0.273145595669506,0.377238015997646,0.430785117580496,0.607467946683114,-0.294473630866066,-1.3649323381159,-0.596734073866868,0.753584842739213,0.33901096210321,-0.457730006092952,0.0701311089258031,-0.229015994470004,-1.01021532573298,-0.66461489766678
Population growth (annual %),SP.POP.GROW,Kuwait,KWT,5.61745616011601,5.16310846661037,4.95428729381318,4.90557193370538,4.3926888771991,4.05077200038428,4.10306996949096,4.00315366030632,3.86276578402681,3.72741498108819,-27.7222248198714,-22.3479739664061,19.0520403663224,2.01651287020796,-0.761153758673458,0.856473402491306,2.86429747440301,3.35694387485977,3.24383679467613,3.13163021635058,3.01539399732843,2.89193287688669,2.7577620921541,2.61011184898608,2.44313720641219,3.73359223835884,5.56835432784763,5.88896046397853,5.59158488996994,5.31183453845195,5.15215597247121,6.588978450283,7.67642810205362,7.15682472094729,3.10674056152789,3.83756936489801,3.50280908539676,1.87988170001332,4.55608227002645,2.82985240186539,-1.83282064689651,-2.5628080932518,0.44040518714903,0.96131038288673
Population growth (annual %),SP.POP.GROW,Kyrgyz Republic,KGZ,1.82447106113543,1.87320626745219,1.97451714414123,2.0796790384824,2.01433042557431,1.86935515474441,1.89162625794696,1.90236034965574,1.76496271128727,2.09017801858247,1.92448488335946,1.63530770758668,1.1538161192326,0.028786218243318,-0.0354303686250107,0.998300395950931,1.48008970426178,1.45850217538744,1.53403815421676,1.48607226256731,1.19112592398474,0.948856613551314,0.917899316903102,1.0484449238834,1.21010542490902,1.12786445855189,1.07505129401544,0.953586964300523,0.950220144755314,1.20726564406139,1.19286442880631,1.21689072909974,1.66523655939962,1.98473866725772,2.0061078993716,2.05902596620676,2.0372244221997,1.93364715643057,1.99032207024617,2.08787614010317,1.89786382312175,2.89836288600667,2.93148141736729,1.78894630690457
Population growth (annual %),SP.POP.GROW,Lao PDR,LAO,1.95433750600416,2.20369921810179,2.42361545140337,2.57732965260522,2.67547829088012,2.75428028268301,2.81404825287781,2.85126281683303,2.86936689074402,2.86821621756126,2.84248933441209,2.80609494356005,2.7535956926722,2.68639560805134,2.58417037869397,2.45471620036543,2.33644081489273,2.09188072418956,1.85404437177053,1.75945208519293,1.68600720393729,1.62285673222063,1.55306898212099,1.46904422700425,1.38084411454621,1.45948723125249,1.58692257953256,1.58087153393389,1.55232447601189,1.52146861670776,1.4894787970459,1.45859508479977,1.43097327467587,1.40264986092754,1.36491228821043,1.42395616494124,1.51981369057872,1.53436449506028,1.51870726808495,1.49540481526456,1.47745666003059,1.43321406495938,1.39649568386606,1.37576862016302
Population growth (annual %),SP.POP.GROW,Latvia,LVA,0.229111154908763,0.306890036020135,0.461697590425841,0.588173150511269,0.627872772057869,0.654593344449627,0.811742390944632,1.0213856199337,1.01708882644933,0.508272199965741,-0.142736397581795,-0.473114694040671,-1.37679506583504,-1.97193209570356,-1.67382870075107,-1.42581081215727,-1.12637509582344,-0.996762288757542,-0.942918937122207,-0.813961203872195,-0.963935407092365,-1.29148694354873,-1.1618382239436,-0.966400801237561,-1.09131295557421,-1.08057145691172,-0.91727295748817,-0.816175506582982,-1.0509395443743,-1.65102496759116,-2.08130508988111,-1.82076700208005,-1.24035915329271,-1.07103480329077,-0.941743354234222,-0.818626340945853,-0.913885332226604,-0.886215573292392,-0.779138396192231,-0.695239140136066,-0.701211570733301,-0.843294678005026,-0.271369577775699,0.125866344662112
Population growth (annual %),SP.POP.GROW,Lebanon,LBN,2.09824969532703,2.12062047225661,1.40755158454098,1.19335287306629,1.80429316933837,1.97780951728289,2.48713613983226,2.47397255033329,1.9357446074711,1.95788657626897,1.91594749510416,2.01190351747569,2.12289417037661,1.94049003899507,1.79967332576435,1.82211890936227,1.86655636519815,1.80083114688498,1.71933079596685,1.69033936841079,1.6480313517987,1.57429758089142,1.30076237598121,1.29904469608094,1.54172773032086,1.48078594660326,1.64097999986534,1.88355982920981,1.60884613336982,1.29127979774658,0.898071621012191,0.98111944066669,2.60752084121081,9.22649612823576,9.97196954242858,1.96637326864653,-2.2172797902348,-2.4155210315248,-2.62721254105458,-2.87986589552119,-2.07933690590844,-1.24903516691702,-1.85691249289585,-2.50498427319778
Population growth (annual %),SP.POP.GROW,Lesotho,LSO,2.79173597796862,2.79013452587901,2.78624243166408,2.77830062478282,2.76702971480744,2.72308299682547,2.63077168058707,2.33110427748889,2.02729486909569,1.90578044649531,1.78945956453694,1.6818337468005,1.57258523845161,1.44078924292089,1.32579415797881,1.2191932944884,1.08090758779064,0.890150357476258,0.659895306055731,0.432375301790158,0.219741612882212,0.0421699997470092,-0.0970226047692506,-0.22573259882656,-0.384374749020571,-0.401735875452327,-0.0325729277343265,0.337605696087044,0.580575262050289,0.707013588718218,0.673528482706333,0.735394495013464,0.832817872899488,0.931108535565663,1.02193622193702,1.10491438799432,1.18953362244047,1.2397919001165,1.25441313204544,1.25167812193172,1.26784087310275,1.2062178802275,1.06255709738439,1.05662089697663
Population growth (annual %),SP.POP.GROW,Liberia,LBR,2.97327255483057,2.93356416223651,2.86905046469497,2.96161444932462,3.03725243008946,2.96946228415034,2.91010648259332,2.84690461433257,2.79273225806466,2.74760428780402,-12.6455331753443,-13.0576707587255,5.68258679338161,3.83021241897833,-0.355709869426709,0.807199025309224,2.83214999149979,7.82276172516147,10.1998852629619,5.54645423394803,3.71130059206802,2.94136849764656,2.61344806491648,0.799708513941131,1.20092557138433,4.50463673233063,5.62739999338956,5.00498279274666,4.07646036851064,3.15228963928178,2.89962727401251,3.93153710180299,3.53829805549154,2.18235448876975,2.05859453753694,2.03541363752766,2.01259665687601,1.90548944068251,1.91539593694733,1.94236198013985,2.03116860337744,2.05886078022756,2.08208722249815,2.15837823978606
Population growth (annual %),SP.POP.GROW,Libya,LBY,5.04647408159656,4.91626610485739,4.81292959497818,4.72905699952835,4.03466847676346,3.30470997131804,3.09459368999714,2.90031453221692,2.76379713506141,2.66164460581806,2.55638829507805,2.44769331204646,2.341098072379,2.22817537397987,2.09725106355272,1.9578924048939,1.82150592827614,1.69262451355405,1.59091790215229,1.53477077626055,1.89556266562551,2.32259340851935,2.4232450219976,2.50863381723218,2.58107591705621,2.61040132087158,2.29252154954785,2.05147873321277,2.12887841520837,2.09437470204341,2.05103928741641,-4.79355371289299,-5.28007770057696,1.94607768885519,1.86288826279856,1.53739411600028,1.4423513120791,1.5175888785251,1.54843762620192,1.39951441440416,1.28344509210842,1.21494764533037,1.13768828173195,1.1101275120524
